"ui_info_group","ui_path","ui_field_label","data_source"
"Object Description Information","Content","Content description/summary/scope",
"Object Description Information","Content","Content language","vocabulary: languages"
"Object Description Information","Content","Content activity",
"Object Description Information","Content","Content concept","authority: concept/associated; authority: concept/material"
"Object Description Information","Content","Content date",
"Object Description Information","Content","Content position","option list: positions"
"Object Description Information","Content > Content object","Content object name",
"Object Description Information","Content > Content object","Content object type","option list: contentObjectTypes"
"Object Description Information","Content","Content people",
"Object Description Information","Content","Content person","authority: person/local; authority: person/ulan"
"Object Description Information","Content","Content place","authority: place/local; authority: place/tgn"
"Object Description Information","Content","Content organization","authority: organization/local; authority: organization/ulan"
"Object Description Information","Content > Content event","Content event name",
"Object Description Information","Content > Content event","Content event type",
"Object Description Information","Content > Content other","Content other name",
"Object Description Information","Content > Content other","Content other type",
"Object Description Information","Content","Content abstract",
"Object History and Association Information","Associations > Associated activity","Associated activity",
"Object History and Association Information","Associations > Associated activity","Associated activity type",
"Object History and Association Information","Associations > Associated activity","Associated activity note",
"Object History and Association Information","Associations > Associated object","Associated object",
"Object History and Association Information","Associations > Associated object","Associated object type",
"Object History and Association Information","Associations > Associated object","Associated object note",
"Object History and Association Information","Associations > Associated concept","Associated concept","authority: concept/associated"
"Object History and Association Information","Associations > Associated concept","Associated concept type",
"Object History and Association Information","Associations > Associated concept","Associated concept note",
"Object History and Association Information","Associations > Associated cultural affinity","Associated cultural affinity",
"Object History and Association Information","Associations > Associated cultural affinity","Associated cultural affinity type",
"Object History and Association Information","Associations > Associated cultural affinity","Associated cultural affinity note",
"Object History and Association Information","Associations > Associated organization","Associated organization","authority: organization/local"
"Object History and Association Information","Associations > Associated organization","Associated organization type",
"Object History and Association Information","Associations > Associated organization","Associated organization note",
"Object History and Association Information","Associations > Associated people","Associated people",
"Object History and Association Information","Associations > Associated people","Associated people type",
"Object History and Association Information","Associations > Associated people","Associated people note",
"Object History and Association Information","Associations > Associated person","Associated person","authority: person/local"
"Object History and Association Information","Associations > Associated person","Associated person type",
"Object History and Association Information","Associations > Associated person","Associated person note",
"Object History and Association Information","Associations > Associated place","Associated place","authority: place/local; authority: place/tgn"
"Object History and Association Information","Associations > Associated place","Associated place type",
"Object History and Association Information","Associations > Associated place","Associated place note",
"Object History and Association Information","Associations > Associated event","Associated event",
"Object History and Association Information","Associations > Associated event","Associated event type",
"Object History and Association Information","Associations","Associated event organization","authority: organization/local"
"Object History and Association Information","Associations","Associated event people",
"Object History and Association Information","Associations","Associated event person","authority: person/local"
"Object History and Association Information","Associations","Associated event place",
"Object History and Association Information","Associations","Associated event note",
"Object History and Association Information","Associations > Associated date","Associated date value",
"Object History and Association Information","Associations > Associated date","Associated date type",
"Object History and Association Information","Associations > Associated date","Associated date note",
