profile,record_type,field,record_section,path_to_field,repeats,group_repeats,record_type_machine_name,field_machine_name
fcart_6-0-0,Acquisition,Accession date,Acquisition Information,"",n,n/a,acquisition,accessionDateGroup
fcart_6-0-0,Acquisition,Acquisition date,Acquisition Information,"",y,n,acquisition,acquisitionDateGroup
fcart_6-0-0,Citation,Publication date,Citation Information,Publication,n,y,citation,publicationDate
fcart_6-0-0,Citation,Resource identifier capture date,Citation Information,Resource identifier,n,y,citation,captureDate
fcart_6-0-0,Chronology,Primary date range,Chronology Information,"",n,n/a,chronology,primaryDateRangeStructuredDateGroup
fcart_6-0-0,Chronology,Alternative date range,Alternative Date Information,Alternative date,n,y,chronology,altDateRangeStructuredDateGroup
fcart_6-0-0,Object,Production date,Object Production Information,"",y,n,collectionobject,objectProductionDateGroup
fcart_6-0-0,Object,Content date,Object Description Information,Content,n,n/a,collectionobject,contentDateGroup
fcart_6-0-0,Object,Textual inscription date,Object Description Information,Textual Inscription > Textual inscription,n,y,collectionobject,inscriptionContentDateGroup
fcart_6-0-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription > Non-textual inscription,n,y,collectionobject,inscriptionDescriptionDateGroup
fcart_6-0-0,Object,Associated date value,Object History and Association Information,Associations > Associated date,n,y,collectionobject,assocStructuredDateGroup
fcart_6-0-0,Object,Ownership date,Object History and Association Information,"",y,n,collectionobject,ownershipDateGroup
fcart_6-0-0,Concept,Related concept date,Concept Information,Related concept,n,y,concept,conceptRelationDateGroup
fcart_6-0-0,Concept,Concept Date,Concept Information,"",n,n/a,concept,conceptTermDateGroup
fcart_6-0-0,Condition Check,Technical change date,Technical Changes,Technical change,n,y,conditioncheck,technicalChangeDate
fcart_6-0-0,Exhibition,Gallery rotation start date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationStartDateGroup
fcart_6-0-0,Exhibition,Gallery rotation end date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationEndDateGroup
fcart_6-0-0,Media Handling,Date,Media Handling Information,"",y,n,media,dateGroup
fcart_6-0-0,Object Exit,Exit date,Object Exit Information,"",n,n/a,objectexit,exitDateGroup
fcart_6-0-0,Organization,Foundation date,Organization Information,"",n,n/a,organization,foundingDateGroup
fcart_6-0-0,Organization,Dissolution date,Organization Information,"",n,n/a,organization,dissolutionDateGroup
fcart_6-0-0,Organization,Contact date,Organization Information,Contact person,n,y,organization,contactDateGroup
fcart_6-0-0,Organization,Contact end date,Organization Information,Contact person,n,y,organization,contactEndDateGroup
fcart_6-0-0,Person,Birth date,Person Information,"",n,n/a,person,birthDateGroup
fcart_6-0-0,Person,Death date,Person Information,"",n,n/a,person,deathDateGroup
fcart_6-0-0,Person,Birth date supplied,Maker-Supplied Identity Information,Supplied birth date,n,y,person,suppliedStructuredBirthDateGroup
fcart_6-0-0,Place,Term date,Place Information,Term,n,y,place,nameDateGroup
fcart_6-0-0,Place,Ownership date,Place Information,Ownership,n,y,place,ownershipDateGroup
fcart_6-0-0,Place,Georeference date,Georeference Information,Georeference,n,y,place,geoRefDateGroup
fcart_6-0-0,Work,Work date,Work Information,"",y,n,work,workDateGroup
